Nome;Modelo;Serie;Patrimonio;Status;Setor;Filial
LEITOR;SYMBOL STB4278;1,3317E+12;60160;True;FRENTE DE CAIXA;4
MONITOR;AOC E1670SW;KQVHAXA004954;;True;FRENTE DE CAIXA;4
MONITOR;AOC E1670SW;HPD81A000174;30731;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OM49GV-07591-24R-2T1L;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OM49GV-07591-16A-078L;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OM49GV-07591-16A-07KL;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OY603M-07591-155-13PM;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OJ227F-07591-98E-6JGC;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OM49GV-07591-28F-0CPL;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OJ227F-07591-98E-2PRC;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OM49GV-07591-16A-05OL;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OM49GV-07591-272-OKYL;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OM49GV-07591-164-073L;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OM49GV-07591-272-OKNL;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OM49GV-07591-214-21SL;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OY603M-07591-155-13JM;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OY603M-07591-155-13TM;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR-OY603M-07591-155-143M;;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROY603M0759115513RM;30397;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM496GV0759124R2TEL;30358;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROY603M0759115513NM;30361;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM496GV0759125N26VL;30447;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROY603M0759115513YM;30382;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROY603M07591155149M;30401;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROY603M07591155148M;30368;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM496GV0759116A075L;30325;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROY603M07591155142M;30364;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM496GV0759116A07JL;30320;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROY603M0759115513KM;30377;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM496GV0759116A030L;30316;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM496GV0759124R2T3L;30326;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROY603M0759115513DM;30362;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM496GV0759116A07PL;30312;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM496GV0759116A07DL;30330;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM496GV0759116A076L;30309;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM496GV0759116A07SL;30354;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROY603M07591155141M;30359;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM49GV07959116A05AL;30357;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM49GV095924R2TCL;30724;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM49GV07959125N263L;30726;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM49GV0759124R2T2L;30727;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM49GV07959124R2TDL;30728;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM49GV07959125N261L;30729;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROM49GV07959124R2TKL;30730;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BROY603M07591155132M;30462;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR0Y603M0759115513AM;30282;True;FRENTE DE CAIXA;4
MONITOR;DELL E170SC;BR0Y603M0759115512TM;30281;True;FRENTE DE CAIXA;4
PC;BEMATECH RC 8300;1,02E+17;10518;True;FRENTE DE CAIXA;4
PC;BEMATECH RC 8300;1,02E+17;10498;True;FRENTE DE CAIXA;4
PC;BEMATECH RC 8300;1,02E+17;10506;True;FRENTE DE CAIXA;4
PC;BEMATECH RC 8300;1,02E+17;10555;True;FRENTE DE CAIXA;4
PC;BEMATECH RC 8300;1,02E+17;10499;True;FRENTE DE CAIXA;4
PC;BEMATECH RC 8300;1,02E+17;10549;True;FRENTE DE CAIXA;4
PC;BEMATECH RC 8300;1,02E+17;10531;True;FRENTE DE CAIXA;4
