Setor;Modelo;Tipo;Serie;Patrimonio;Filial;Status;
10287;OP. DE CAIXA;4;;;;;
10289;OP. DE CAIXA;4;;;;;
10291;OP. DE CAIXA;4;;;;;
10292;OP. DE CAIXA ;4;;;;;
10293;OP. DE CAIXA;4;;;;;
10295;OP. DE CAIXA;4;;;;;
10296;OP. DE CAIXA;4;;;;;
10307;OP. DE CAIXA;4;;;;;
10368;OP. DE CAIXA;4;;;;;
10434;OP. DE CAIXA;4;;;;;
10435;OP. DE CAIXA;4;;;;;
10775;OP. DE CAIXA;4;;;;;
30163;OP. DE CAIXA;4;;;;;
30298;OP. DE CAIXA ;4;;;;;
30339;OP. DE CAIXA;4;;;;;
30348;OP. DE CAIXA;4;;;;;
30381;OP. DE CAIXA;4;;;;;
30391;OP. DE CAIXA ;4;;;;;
30413;OP. DE CAIXA;4;;;;;
30425;OP. DE CAIXA;4;;;;;
30436;OP. DE CAIXA;4;;;;;
30451;OP. DE CAIXA;4;;;;;
30725;OP. DE CAIXA;4;;;;;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,1353E+12;60414;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,3223E+12;60095;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;1,1353E+12;60413;4;True;
FRENTE DE CAIXA;SYMBOL LS7708;LEITOR;5,36352E+12;60291;4;True;
FRENTE DE CAIXA;SYMBOL STB4278;LEITOR;1,3317E+12;60166;4;True;
FRENTE DE CAIXA;SYMBOL STB4278;LEITOR;1,321E+12;60115;4;True;
FRENTE DE CAIXA;SYMBOL STB4278;LEITOR;1,3038E+12;60440;4;True;
FRENTE DE CAIXA;SYMBOL STB4278;LEITOR;1,3318E+12;60330;4;True;
FRENTE DE CAIXA;SYMBOL STB4278;LEITOR;1,2137E+12;60425;4;True;
FRENTE DE CAIXA;SYMBOL STB4278;LEITOR;1,3317E+12;60160;4;True;
FRENTE DE CAIXA;AOC E1670SW;MONITOR;KQVHAXA004954;;;True;
FRENTE DE CAIXA;AOC E1670SW;MONITOR;HPD81A000174;30731;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OM49GV-07591-24R-2T1L;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OM49GV-07591-16A-078L;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OM49GV-07591-16A-07KL;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OY603M-07591-155-13PM;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OJ227F-07591-98E-6JGC;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OM49GV-07591-28F-0CPL;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OJ227F-07591-98E-2PRC;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OM49GV-07591-16A-05OL;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OM49GV-07591-272-OKYL;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OM49GV-07591-164-073L;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OM49GV-07591-272-OKNL;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OM49GV-07591-214-21SL;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OY603M-07591-155-13JM;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OY603M-07591-155-13TM;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BR-OY603M-07591-155-143M;;;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROY603M0759115513RM;30397;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM496GV0759124R2TEL;30358;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROY603M0759115513NM;30361;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROM496GV0759125N26VL;30447;4;True;
FRENTE DE CAIXA;DELL E170SC;MONITOR;BROY603M0759115513YM;30382;4;True;
